TECHNOLOGIES,powerCost,capacityCost,EnergyNbhourCap,minCapacity,maxCapacity,RampConstraintPlus,RampConstraintMoins,RampConstraintPlus2,RampConstraintMoins2,EmissionCO2
TAC,0,86830,0,00,00,0,0,0,0,6000
Coal_p,0,103500,0,1800.0,200000,0.06,0.06,0,0,10000
CCG,0,96830,0,00,00,0.06,0.06,0,0,4700
OldNuke,0,245060,0,0,24000,0.04,0.04,0,0,0
NukeCarrene,0,321510,0,0.0,0,0.0,0.0,0,0,0
NewNuke,0,361730,0,0.0,0,0.0,0.0,0,0,0
WindOnShore,0.0,103750,0,0,0,0.0,0.0,0,0,0
WindOffShore,0.0,228170,0,0,140000,0.0,0.0,0,0,0
HydroReservoir,0.0,39180,2100,10500,10500,0.0,0.0,0,0,0
HydroRiver,0.0,39180,0,15000,15000,0.0,0.0,0,0,0
Solar,0.0,63250,0,0,0,0,0.0,0,0,0
ResidentialRoofTopSolar,0.0,72250,0,0.0,0,0.0,0.0,0,0,0
IndusRoofTopSolar,0.0,71250,0,0.0,0,0.0,0.0,0,0,0
curtailment,3000.0,0,0,0,0,0.0,0.0,0,0,0
pac,0.0,212552,0,0.0,0,0.0,0.0,0,0,0
electrolysis,0.0,89860,0,0.0,0,0.0,0.0,0,0,0
Methanation,0,20000,0,0,0,0,0,0,0,0
Solar_PPA,0.0,63250,0,0,100000,0,0.0,0,0,0
WindOnShore_PPA,0.0,103750,0,0,250000,0.0,0.0,0,0,0
