,YEAR_op,TECHNOLOGIES,capacityCosts_Pvar
0,2040,curtailment,0.0
1,2040,HydroReservoir,69371700.2940196
2,2040,NewNuke,1308296001.4679823
3,2040,WindOffShore,1201749679.2507792
4,2040,HydroRiver,50872580.21561436
5,2040,TAC,30831866.797342032
6,2040,Coal_p,-0.0
7,2040,Interco,0.0
8,2040,Solar,1181411490.5200522
9,2040,WindOnShore,2095149130.6456974
10,2040,OldNuke,2580627250.9375286
11,2040,CCG,223098788.84218532
12,2050,curtailment,0.0
13,2050,HydroReservoir,46865035.049161755
14,2050,NewNuke,1627049113.902337
15,2050,WindOffShore,1842673557.857737
16,2050,HydroRiver,34367692.36938529
17,2050,TAC,-0.0
18,2050,Coal_p,-0.0
19,2050,Interco,0.0
20,2050,Solar,1036882200.342746
21,2050,WindOnShore,1941768715.7749877
22,2050,OldNuke,581126434.6096058
23,2050,CCG,303401182.33488834
24,2020,curtailment,0.0
25,2020,HydroReservoir,1226148966.4188244
26,2020,NewNuke,-0.0
27,2020,WindOffShore,-0.0
28,2020,HydroRiver,899175908.707138
29,2020,TAC,499917484.93109095
30,2020,Coal_p,837699569.3439903
31,2020,Interco,0.0
32,2020,Solar,613412265.2938251
33,2020,WindOnShore,907958242.9018734
34,2020,OldNuke,7916260930.300709
35,2020,CCG,341159905.2570283
36,2030,curtailment,0.0
37,2030,HydroReservoir,102687062.89529073
38,2030,NewNuke,-0.0
39,2030,WindOffShore,964703644.1992339
40,2030,HydroRiver,75303846.1232132
41,2030,TAC,91277389.24025844
42,2030,Coal_p,109532867.08831012
43,2030,Interco,0.0
44,2030,Solar,1499411306.8222892
45,2030,WindOnShore,2459986651.311633
46,2030,OldNuke,4583950487.645779
47,2030,CCG,186862716.4064948
